company_id,capital_allocation_pattern
ABB,cash_compounder
ADANIENSOL,cash_compounder
ADANIENT,growth_investor
ADANIGREEN,growth_investor
ADANIPORTS,cash_compounder
ADANIPOWER,capital_intensive
AMBUJACEM,deleveraging
APOLLOHOSP,cash_compounder
ASIANPAINT,cash_compounder
ATGL,capital_intensive
AXISBANK,financial_institution
BAJAJAUTO,capital_returner
BAJAJFINSV,financial_institution
BAJAJHLDNG,deleveraging
BAJFINANCE,financial_institution
BANKBARODA,financial_institution
BEL,growth_investor
BHARTIARTL,cash_compounder
BHEL,distressed
BOSCHLTD,capital_returner
BPCL,cash_compounder
BRITANNIA,cash_compounder
CANBK,financial_institution
CHOLAFIN,financial_institution
CIPLA,deleveraging
COALINDIA,capital_returner
DABUR,cash_compounder
DIVISLAB,capital_returner
DLF,capital_returner
DMART,cash_compounder
DRREDDY,deleveraging
EICHERMOT,capital_returner
GAIL,cash_compounder
GODREJCP,distressed
GRASIM,growth_investor
HAL,cash_compounder
HAVELLS,cash_compounder
HCLTECH,cash_compounder
HDFCBANK,financial_institution
HDFCLIFE,financial_institution
HEROMOTOCO,cash_compounder
HINDALCO,cash_compounder
HINDUNILVR,cash_compounder
ICICIBANK,financial_institution
ICICIGI,cash_compounder
ICICIPRULI,financial_institution
INDIGO,cash_compounder
INDUSINDBK,financial_institution
INFY,deleveraging
IOC,cash_compounder
IRCTC,capital_returner
IRFC,financial_institution
ITC,capital_returner
JINDALSTEL,capital_intensive
JIOFIN,deleveraging
JSWENERGY,capital_intensive
JSWSTEEL,growth_investor
KOTAKBANK,financial_institution
LICI,financial_institution
LODHA,capital_intensive
LT,cash_compounder
LTIM,cash_compounder
M&M,capital_intensive
MARUTI,cash_compounder
MOTHERSON,cash_compounder
NAUKRI,growth_investor
NESTLEIND,cash_compounder
NHPC,cash_compounder
NTPC,cash_compounder
ONGC,cash_compounder
PFC,financial_institution
PIDILITIND,cash_compounder
PNB,financial_institution
POWERGRID,cash_compounder
RECLTD,growth_investor
RELIANCE,cash_compounder
SBILIFE,financial_institution
SBIN,financial_institution
SHREECEM,cash_compounder
SHRIRAMFIN,financial_institution
SIEMENS,deleveraging
SUNPHARMA,cash_compounder
TATACONSUM,cash_compounder
TATAMOTORS,cash_compounder
TATAPOWER,cash_compounder
TATASTEEL,distressed
TCS,capital_returner
TECHM,cash_compounder
TITAN,capital_returner
TORNTPHARM,cash_compounder
TRENT,capital_efficient
TVSMOTOR,growth_investor
ULTRACEMCO,cash_compounder
UNIONBANK,financial_institution
UNITDSPR,capital_returner
VBL,insufficient_data
VEDL,cash_compounder
WIPRO,cash_compounder
ZOMATO,distressed
ZYDUSLIFE,deleveraging
